"gsis_id","season","week","passing_att","passing_cmp_air_yds","passing_incmp_air_yds","receiving_yac_yds","receiving_yds","receiving_rec","receiving_tds","rushing_yds","rushing_att","rushing_tds","defense","opponent"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,15,0,0,15,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,4,0,10,14,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,12,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,10,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,-2,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,6,1,0,"CHI","GB"
"2019090500",2019,1,1,0,15,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,19,0,9,28,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,2,1,0,"CHI","GB"
"2019090500",2019,1,1,18,0,10,28,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,1,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,16,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,6,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,11,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,5,0,0,5,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,6,0,1,7,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,-3,0,5,2,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,16,0,5,21,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,24,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,6,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,-2,0,11,9,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,0,5,5,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,4,0,0,4,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,4,0,2,6,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,2,1,0,"CHI","GB"
"2019090500",2019,1,1,0,3,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,5,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,12,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,29,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,2,0,0,2,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,-1,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,-1,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090800",2019,1,1,0,0,12,12,1,0,0,0,0,"LA","CAR"
"2019090800",2019,1,1,12,0,0,12,1,0,0,0,0,"LA","CAR"
